302 5377
273 45 3118
125 115 4187
69 91 6456
83 65 1202
202 3 6347
74 68 3403
243 279 6190
136 99 4177
270 128 8638
202 59 9103
256 15 5085
115 235 9561
222 210 9160
207 271 7424
165 85 8563
191 196 669
227 276 1054
249 48 5576
195 158 9058
13 205 8386
17 253 2876
262 58 5713
173 74 6346
231 190 4885
205 30 2580
133 53 6950
125 199 2328
276 93 4390
161 187 6477
271 172 978
176 293 8977
54 295 5120
188 37 9982
293 269 211
178 211 1084
59 301 1531
90 57 44
283 83 9091
17 169 7650
190 196 3057
42 230 3500
268 218 1276
71 290 1065
283 108 1275
273 194 831
28 4 4109
283 210 6025
94 35 3425
26 141 6917
57 276 6444
210 213 8585
110 205 1133
92 121 8981
292 91 1664
251 133 5471
120 48 3958
78 222 5443
128 77 900
256 257 8604
276 16 6108
162 283 4609
236 131 8457
202 30 3524
46 92 2334
38 230 8325
96 258 132
114 67 4966
118 272 9435
9 207 9381
42 237 4031
264 203 1942
46 83 4468
230 164 3380
288 81 8791
292 18 9924
78 162 1023
232 153 6165
287 131 1600
286 15 7146
146 147 1251
139 199 7275
44 68 304
45 132 9144
29 58 1211
118 289 2718
74 43 7567
101 216 80
267 246 2302
183 238 9773
115 26 4932
123 202 8495
229 68 386
228 296 3659
37 95 9227
91 200 6189
87 21 1157
292 194 6232
109 232 4691
226 222 4757
196 227 8602
275 72 1406
194 213 2356
182 68 9366
244 120 6910
12 89 2915
246 17 2936
55 82 7188
107 210 1465
216 172 1291
5 153 2403
153 287 2950
125 219 1287
105 272 9986
220 217 6979
137 16 2574
243 296 5650
118 237 1664
115 142 5925
15 46 4545
283 132 3544
48 137 2449
143 192 4027
271 259 786
38 97 8876
127 249 2700
125 218 9482
51 98 8467
112 78 3480
13 31 3492
163 285 7186
218 185 2696
252 158 9932
237 296 610
260 18 7812
208 4 8327
108 219 3617
182 131 6849
267 146 5994
215 243 292
26 48 7616
240 261 2022
207 51 6110
107 20 8202
215 244 1567
14 199 3479
296 198 995
228 89 793
175 177 1524
213 293 2880
37 302 2568
196 205 9121
136 36 8382
297 193 5543
2 113 3446
233 77 2804
43 26 3418
240 114 6052
235 118 3241
229 301 8097
260 12 3608
250 298 7312
202 300 6574
61 193 6762
77 64 410
123 264 8246
302 182 3872
256 297 8082
218 202 6108
237 224 6511
35 123 9912
32 248 8668
132 74 1821
205 208 4929
215 219 7708
97 268 7399
144 44 4166
251 123 8245
179 297 328
12 39 8034
248 255 9026
55 246 3062
70 298 3403
107 42 7639
21 52 9114
176 134 5997
37 149 1982
289 284 5399
57 66 1835
119 221 3582
103 251 3900
214 244 753
204 131 7639
280 275 9941
139 267 8155
196 206 4333
135 121 831
236 154 4892
124 144 1727
194 302 3646
209 152 8998
269 16 9820
50 134 4001
290 39 3499
108 90 2922
141 224 3733
174 149 225
280 115 2072
292 188 734
24 60 6810
60 216 7235
246 189 5800
164 286 1668
46 127 6796
6 83 5921
257 118 8833
25 32 2925
197 171 9230
51 155 1569
272 89 8295
113 294 2907
257 112 262
261 198 6276
19 87 5553
275 119 4103
11 174 2506
198 259 541
74 193 3139
124 269 4604
33 261 4509
242 11 1773
231 152 5748
243 299 924
94 289 3271
178 115 6182
12 269 3746
131 173 2857
302 121 6490
108 125 443
78 12 3262
300 68 3209
289 12 6295
212 181 5298
244 31 5046
57 259 8536
30 25 6765
212 158 4816
75 160 3803
13 27 6047
128 97 3261
76 253 5087
11 157 6304
49 238 1814
302 21 6013
170 216 6142
43 9 2613
151 201 4888
35 237 9648
25 191 5390
278 162 4043
41 179 2068
67 229 1022
33 190 3442
150 214 1083
174 227 403
168 262 5291
88 73 2174
35 261 8191
194 158 9738
260 281 1311
47 116 3551
293 164 6012
112 184 478
189 134 3342
230 197 7772
45 250 1158
134 8 965
140 292 6201
247 71 2265
293 169 60
192 121 955
31 195 4687
61 125 8634
86 291 181
36 255 6439
82 170 9780
139 47 2749
151 157 1014
73 228 6138
297 85 3263
294 273 7339
144 263 7936
256 86 6848
235 7 2572
10 142 2307
10 92 8042
234 21 7355
250 27 4318
155 154 3504
115 76 9559
61 171 2298
69 9 5993
106 115 6831
26 77 5231
124 184 1650
132 155 5503
281 182 8444
193 300 1900
33 8 4359
138 104 2577
274 227 8609
112 301 6797
210 200 5672
266 253 7181
259 137 4751
132 230 9102
70 132 9412
146 270 2643
80 198 7439
40 239 3175
40 146 2581
62 278 2077
284 89 3038
62 137 9117
176 161 3755
152 33 1449
257 33 9364
111 90 2114
89 238 3921
160 250 7134
41 145 9920
108 161 3603
250 216 1286
38 258 3796
84 175 606
173 146 358
233 265 5974
186 100 1640
191 156 2994
134 201 8358
291 107 8892
92 261 5329
170 27 6447
21 249 1291
195 199 8987
80 45 4447
212 274 6296
5 229 364
285 14 2692
226 142 3046
68 121 1345
168 152 8380
108 92 5169
210 18 1328
254 252 1479
215 91 7147
48 106 2104
257 86 6478
63 127 5561
227 131 7348
285 135 250
197 141 9059
128 241 9004
114 248 3503
72 269 1751
161 207 4194
90 237 2126
261 228 3533
184 242 293
67 116 2472
119 279 1175
2 123 7910
178 25 8503
160 188 304
232 117 2173
147 255 7739
205 15 6
299 221 7566
87 98 7431
175 263 4376
108 64 1955
209 102 3045
87 177 916
263 154 1762
73 122 5395
227 119 4359
83 173 1389
133 65 9983
297 49 1663
166 186 4598
128 209 2028
71 4 9658
174 255 2654
75 81 769
294 234 2742
160 104 7912
141 241 1823
233 247 9898
270 141 5382
225 55 210
138 128 5440
65 128 2216
179 68 3568
188 235 2648
261 73 6109
69 66 3647
104 252 9065
166 228 4362
225 29 5575
19 15 526
177 49 7962
271 24 5068
116 50 4568
75 37 9768
288 259 258
198 164 8658
71 113 1509
65 37 7702
80 289 2896
110 66 5401
51 140 97
295 271 5403
10 204 9372
77 178 4429
52 125 2188
233 67 2204
152 149 7529
3 14 3991
38 183 7342
272 153 541
183 208 5948
106 62 3496
40 150 1666
151 18 3691
77 258 55
116 76 4205
70 169 2437
110 179 4114
6 237 1176
181 266 365
273 59 3898
218 150 6287
210 257 1772
171 62 3501
210 93 6057
99 188 8608
301 85 1393
52 116 5451
278 25 9091
187 97 6371
253 243 6518
89 173 812
129 71 3492
152 69 4891
45 106 5528
267 147 8747
135 282 4469
276 230 4442
164 36 8207
31 55 2566
121 260 9364
170 71 2480
46 91 8155
140 70 7547
290 178 4380
96 106 5041
87 295 698
6 71 9793
51 210 7102
122 106 9013
146 105 5266
89 174 4134
48 178 4242
231 40 4070
84 234 5462
215 80 9766
138 77 1475
184 162 572
168 84 8512
171 229 9889
172 192 1306
224 86 3183
276 215 4551
56 10 4537
116 104 25
32 55 8875
10 189 4651
99 213 5572
262 300 2452
209 81 8456
128 30 4935
235 224 6057
98 96 5017
48 22 6910
112 283 368
289 293 5073
247 88 3824
224 204 4842
147 207 5647
28 285 9300
102 118 3245
250 221 1520
154 95 6475
74 284 3857
13 25 9510
209 83 8472
279 16 6309
292 44 3189
94 214 4098
213 16 3805
209 150 4456
118 280 4474
125 237 2153
86 301 1941
119 45 9832
134 71 5707
203 219 2051
63 73 4605
288 127 6216
135 199 2569
190 213 7299
158 67 5360
152 122 1259
117 144 4277
190 127 2399
294 302 7081
292 238 7849
119 8 4539
192 196 9108
129 91 6640
128 108 5624
29 105 7628
253 247 6327
30 38 1515
57 218 2073
191 28 6450
141 143 2801
301 108 467
160 162 9131
46 131 2175
137 12 9977
26 291 1815
212 145 4992
124 56 4166
287 136 3508
51 116 4034
220 131 2575
178 134 3876
247 227 6745
256 144 1277
129 140 7706
154 66 1792
93 101 7304
267 275 9024
222 194 6066
212 174 7249
52 154 2879
184 1 4415
235 89 2756
98 108 5656
244 277 4153
169 144 8786
7 53 6897
33 196 104
180 300 4450
144 106 1203
166 202 7349
180 96 1488
91 62 6838
105 15 3981
136 220 4648
235 254 3418
118 141 2039
25 84 3911
100 46 1566
217 98 5904
34 132 7568
162 187 644
79 70 4060
290 113 1889
41 271 7559
211 277 2627
201 238 2494
67 238 8913
171 172 3261
123 22 1571
262 138 3538
254 22 1470
75 111 4939
177 208 1216
191 269 4930
263 35 3785
157 51 5773
21 268 1886
31 223 4465
160 129 5588
66 78 9840
68 232 8514
111 135 4055
152 128 2987
57 123 5963
277 210 8553
108 300 3271
287 72 6500
244 92 6122
11 255 7512
112 282 4412
57 165 9490
300 37 729
32 40 3648
116 186 8013
63 241 2973
142 16 2290
125 282 898
200 11 6335
55 21 2827
221 118 7448
129 199 68
21 260 9452
257 288 8109
252 290 5383
214 55 7638
298 90 736
301 79 7991
66 198 5005
132 265 4878
117 196 6899
301 183 5152
119 101 5191
239 98 5981
42 79 4414
300 217 157
49 73 8557
173 71 7204
260 117 7219
167 199 2353
70 96 9603
29 44 2813
143 220 467
141 83 4929
225 193 5526
257 91 5839
61 284 12
35 295 1044
79 9 4035
43 177 9905
247 83 8848
268 9 4731
122 68 5944
282 236 8905
128 301 5162
258 114 9024
35 57 4527
267 143 9698
13 62 2789
261 100 3168
14 15 9710
130 173 8948
162 79 9535
87 267 3059
83 230 5043
34 263 9876
143 112 6522
234 101 4109
228 204 4544
124 98 8457
114 55 6977
277 97 3493
111 28 7155
105 247 113
149 130 6433
12 20 160
301 17 5482
84 277 5027
222 269 9933
235 16 5131
89 27 3614
204 41 8361
97 255 8083
244 156 5379
164 140 1649
215 150 1219
157 88 9756
183 6 6950
292 52 2156
199 137 5177
145 166 2812
6 202 1365
193 78 7675
86 66 7531
27 91 9201
179 135 2747
130 28 180
196 286 7919
21 155 4040
295 55 2293
223 175 8328
165 266 6374
95 190 8496
199 46 8659
16 149 8146
294 164 5220
114 152 7042
288 26 9537
132 66 4924
59 231 3465
8 206 164
77 1 868
93 57 7753
187 301 6049
228 49 2982
286 247 813
79 1 9685
216 231 7413
64 13 3723
179 244 2785
247 167 4391
215 238 5583
300 296 9643
23 73 8347
262 261 9206
214 182 4093
127 89 4992
129 220 6933
67 207 154
79 255 9839
21 27 3576
28 137 4491
189 291 4500
252 148 241
233 94 8762
200 156 7572
150 190 1053
48 287 2945
126 165 2562
102 221 6755
87 157 464
55 122 4844
199 3 5651
273 261 52
272 193 9504
13 299 9939
288 124 3626
295 241 8990
11 51 3294
59 101 7356
197 245 1776
217 255 7546
190 194 5539
202 170 4589
164 31 3234
265 87 2738
182 140 4716
83 112 4339
220 27 5628
300 190 8832
215 82 5169
202 87 1424
171 37 5378
34 171 6397
118 135 8290
42 123 3393
276 163 1007
240 151 1209
7 207 1011
62 296 7495
111 54 2665
235 233 52
299 214 3970
37 104 4256
25 205 6683
244 107 2137
206 195 2232
174 208 1464
168 48 2111
266 3 3293
38 47 9462
285 188 1622
169 152 745
135 155 9691
68 15 4158
17 183 1670
12 116 7896
134 143 2818
286 285 4073
178 116 8215
174 71 2297
269 87 9056
30 204 6209
242 119 453
210 275 8096
12 5 5377
92 294 7123
69 128 1690
162 131 8437
175 252 6347
178 124 1882
200 30 6262
260 27 7031
238 277 1377
123 257 2237
288 281 8614
45 149 6425
274 10 6123
70 250 3778
89 213 9583
12 14 6906
213 228 3635
117 154 6550
61 111 2158
229 244 8481
27 147 9406
280 301 5913
100 247 7363
125 56 1660
27 279 7412
2 116 2529
89 140 4546
86 182 9097
103 201 7053
265 295 3989
65 23 4911
119 88 768
95 24 760
199 132 3096
53 18 2149
30 19 4434
79 52 3684
188 71 5071
33 202 6681
221 18 3283
44 183 9780
223 204 4642
234 46 2075
227 255 7467
64 244 4254
121 147 7761
61 268 4856
222 127 6615
80 46 9962
97 195 5016
49 81 7627
69 117 3470
263 118 7196
182 227 2864
135 273 7747
191 107 3731
142 252 5951
34 43 4186
109 3 9951
262 264 1711
195 292 3878
253 260 7572
109 36 5146
214 138 6581
207 217 8315
1 114 5283
84 194 5933
279 233 1546
283 145 9109
10 235 3736
257 249 4857
292 169 7702
125 73 4402
49 121 238
257 124 4113
1 19 6068
265 124 2821
250 154 5256
32 146 3629
196 57 9082
148 120 766
134 158 7907
250 84 9761
300 65 1598
145 7 9780
299 29 2512
74 31 337
212 22 3152
188 89 9837
244 154 4927
30 93 6255
86 127 3976
159 23 8998
233 251 2076
128 239 2943
218 164 8130
76 91 7771
302 43 8491
247 245 6794
249 214 3556
114 27 6389
84 146 2675
256 122 6471
239 296 7525
67 250 8298
302 197 3139
259 299 8647
222 228 499
145 30 8599
64 119 2677
297 8 5979
258 255 1180
173 221 6741
150 114 6422
169 210 849
229 245 9516
166 246 5729
237 211 4174
38 108 9121
187 12 2511
103 3 9332
170 169 8786
179 40 899
16 146 4452
269 90 8268
185 90 8789
132 92 888
276 155 8277
20 55 7977
276 130 1219
293 103 8257
61 48 3185
108 82 581
208 187 3850
3 78 136
32 90 198
100 97 5715
246 90 4481
100 275 2056
37 33 4232
99 123 6511
228 66 436
244 168 8462
195 77 945
170 56 5664
242 172 4693
47 12 1744
229 239 2946
193 28 5100
28 80 5463
188 120 4587
209 253 1854
277 200 9552
263 191 5969
276 244 2295
116 171 6708
168 199 4611
199 92 9767
124 29 8444
175 52 9162
191 65 3473
78 57 3578
177 150 8875
86 123 53
195 257 5467
256 65 9930
267 130 5541
274 159 5022
246 70 6794
26 209 9200
12 297 9429
61 67 4869
110 228 6887
119 112 2698
179 159 3938
129 176 8566
143 116 674
73 248 1685
223 29 2877
119 281 7714
167 35 5923
3 80 4916
278 39 1805
268 272 2851
121 27 5998
223 296 5860
12 230 4670
254 171 2181
292 279 9436
137 157 231
166 114 458
144 288 3611
17 22 605
251 17 2125
58 109 8824
52 281 7570
136 225 717
206 264 1190
137 38 2978
79 115 7280
161 219 2067
159 98 5115
22 157 4934
279 71 4439
88 33 4751
48 111 8694
169 273 8131
188 271 112
172 13 837
259 145 5052
263 153 6075
256 258 6864
73 193 6992
69 151 3395
76 20 6186
300 67 7390
106 150 9286
58 160 4682
18 142 1134
15 155 1575
81 125 9048
216 160 9723
217 161 2427
94 104 6419
199 56 2050
26 177 4806
249 215 4178
92 82 5657
59 248 506
43 133 7182
266 252 9654
253 10 2571
32 24 7006
249 259 6728
241 115 9984
97 276 692
242 121 4061
180 84 5757
210 188 6738
222 178 4267
40 24 792
115 187 419
233 72 646
37 123 1524
301 177 6166
215 183 7725
202 84 6222
228 301 5609
73 150 1000
208 134 3775
276 46 6016
288 174 5175
102 54 7242
153 70 4235
260 181 1163
61 140 4832
97 114 5719
210 106 7446
241 95 2386
38 302 4381
17 128 2313
180 101 5365
189 145 991
155 290 8972
187 40 3362
252 173 6482
122 183 6462
121 152 648
269 47 8292
22 118 4274
206 229 3750
214 288 4653
236 147 3193
95 70 2740
278 177 8785
289 242 1344
48 138 9808
131 212 7036
113 248 4274
79 204 6058
43 167 9331
19 86 6922
181 31 3995
86 220 4468
111 267 7995
39 154 3946
19 301 3890
74 13 1063
258 201 5402
287 61 9036
237 172 3581
193 123 7429
1 37 9415
37 217 5747
5 151 7189
94 63 2777
98 110 9101
92 248 9219
139 68 8094
229 81 5609
118 143 2028
168 37 3376
70 300 3460
79 295 1413
113 87 6106
25 153 7285
125 78 2497
294 149 9786
44 263 7298
172 252 8961
16 192 3566
122 120 9937
252 213 294
13 118 4654
104 47 2907
161 184 7210
297 124 2264
3 214 8977
53 3 4973
113 69 5696
245 281 5135
84 257 984
134 139 1815
257 298 6371
162 51 1524
130 96 6057
4 179 6015
91 180 4096
119 104 2946
118 145 4985
77 162 1104
17 292 8486
101 188 2856
193 235 8700
198 53 3943
205 280 1857
155 107 4038
234 66 345
220 282 1335
283 62 6231
148 185 2725
261 37 2961
283 121 1509
11 229 2607
218 56 3073
278 267 8941
269 146 270
47 235 9068
242 106 7917
232 230 207
96 151 8964
98 39 6158
50 71 5653
265 42 7730
74 99 6376
11 171 2999
206 216 8747
10 221 4666
288 22 1745
122 25 9164
45 242 8412
159 143 5782
177 60 4886
72 149 9792
221 209 5281
226 156 6782
156 36 5498
266 111 8614
23 213 9412
223 148 3779
108 188 457
27 302 2022
35 255 8403
30 129 5195
233 156 2873
205 211 7867
118 87 7743
186 19 4673
55 77 6907
44 247 588
301 88 6466
234 119 7930
188 134 9045
203 115 5793
262 221 9770
230 249 2346
127 218 4389
224 206 1932
266 178 8487
121 108 4469
153 120 1871
216 2 4568
145 275 1227
18 60 5021
84 63 8582
82 279 8050
132 168 4542
205 255 6063
6 177 8471
190 252 6673
124 119 5069
19 245 6290
301 163 8194
50 111 9573
297 196 5215
240 171 7048
197 140 7083
45 159 1160
298 168 5174
176 46 8648
155 76 833
126 222 1268
64 52 9906
275 259 8347
84 36 7933
230 160 3099
225 153 4023
290 76 1717
237 208 6720
294 63 2710
204 221 8204
97 144 9434
64 249 4216
227 39 4028
266 19 2320
8 49 6850
123 259 2957
18 112 4149
109 212 5421
24 20 1527
130 73 767
168 153 7625
81 219 7030
158 16 4602
136 226 5882
220 181 2122
293 120 7229
147 238 1978
184 221 3059
45 184 4958
100 199 7603
4 147 6244
172 118 6992
29 240 3955
273 37 5657
89 57 6963
232 115 2497
118 283 3707
224 153 173
171 60 6790
162 76 8978
55 286 4272
63 260 6385
103 63 2967
153 295 6029
192 35 9206
163 236 4468
80 40 6893
34 114 7375
175 106 8770
135 22 821
140 178 5037
25 202 7724
160 221 1836
87 124 8732
153 167 91
198 191 1199
164 283 2883
217 68 6140
111 154 1280
65 217 3719
34 9 7230
60 129 6405
190 49 8032
200 294 3345
167 112 4245
288 289 6677
17 229 8017
29 161 5140
254 224 6255
211 24 5087
189 5 5962
60 226 9387
83 18 8741
220 299 5075
270 72 2054
206 31 668
107 164 8153
43 291 143
256 20 2611
233 167 1604
180 218 6309
82 2 524
132 31 4310
243 286 9996
77 15 4495
106 120 4010
165 133 6861
100 236 6184
86 238 4970
48 55 8890
271 74 7495
209 140 9256
179 100 3029
6 104 5881
150 141 2130
187 142 29
260 10 8435
240 302 3558
197 191 4485
45 135 8506
268 50 3270
286 154 3512
158 165 8853
216 295 3934
281 247 2061
27 254 8431
170 42 7147
144 58 1119
294 85 5467
122 66 9481
106 200 5235
154 161 6092
231 200 7973
71 171 9385
55 81 7543
214 223 8989
10 201 396
299 185 9834
240 109 3762
73 69 1410
53 153 2264
39 210 6631
1 289 5672
186 156 9903
203 298 5390
256 275 6402
145 133 6082
26 127 6144
211 240 1239
286 230 2118
226 23 3231
197 201 8107
51 143 7202
28 186 2113
117 73 2487
247 230 7654
37 186 7216
251 77 1705
291 218 2638
171 205 4717
175 3 4854
164 165 3158
107 300 140
251 252 9262
249 146 4431
150 128 1391
276 91 6059
171 190 2316
10 104 596
249 62 8750
282 110 5672
183 138 5046
8 293 4848
42 216 2188
61 199 1212
137 231 7973
175 80 816
3 213 4104
285 241 9555
157 102 505
91 93 4285
302 277 7403
171 92 4582
63 161 2755
20 93 5049
247 18 6483
300 232 153
136 116 6178
145 269 6744
22 178 921
147 126 2143
260 19 2008
228 133 5882
238 186 266
143 198 2550
252 141 136
191 31 2807
14 111 8315
14 206 8958
212 195 4842
94 102 6911
5 13 7562
5 292 7648
14 120 6198
253 115 6370
292 230 49
186 239 9845
19 98 6005
151 205 9349
99 73 1414
22 107 1832
93 25 4643
151 44 7329
64 253 7741
291 249 4497
68 105 9146
194 225 3863
42 40 4003
219 169 2894
234 29 1516
194 238 4482
277 96 7513
168 241 4046
177 38 8939
67 68 2921
133 135 7328
247 249 8846
50 136 5607
17 2 8238
295 239 879
19 33 344
46 153 6292
238 190 3706
270 161 7897
262 129 1234
42 234 1771
260 243 8804
43 100 5807
275 185 6283
162 61 935
251 302 4599
160 152 1324
29 155 6915
182 72 7434
146 273 2837
286 246 8957
254 42 5067
105 129 9665
248 96 8603
133 148 8670
42 156 5059
268 102 5949
287 273 6159
289 296 1610
71 25 6291
245 29 9848
122 108 2211
49 59 1245
174 249 3511
43 102 3167
16 122 611
127 241 45
51 81 3411
57 162 7414
267 252 915
53 96 3745
279 26 5789
62 153 6846
301 76 9848
140 97 173
139 238 9802
177 106 8626
15 225 5491
292 70 1174
272 94 6982
214 199 9928
68 53 9779
17 18 2916
71 46 2077
161 80 1280
127 94 5326
40 69 9013
201 108 9562
78 265 8194
87 103 3605
198 123 5967
201 158 5470
194 13 7117
65 58 1886
97 269 7390
57 302 8201
77 117 5104
56 175 4130
295 144 4836
145 5 7810
9 204 2156
7 156 7092
100 180 4371
143 238 3192
62 231 6810
231 253 7844
20 180 9235
129 9 1161
101 204 182
101 16 630
112 206 3683
158 22 3450
110 227 4004
3 251 5153
232 240 552
274 68 5801
237 51 311
261 22 9171
131 283 3900
157 67 1753
44 41 6783
72 293 3949
295 45 3679
36 116 3384
161 181 9804
138 119 756
258 99 3368
156 52 5753
253 22 7926
271 193 3935
278 58 8231
45 233 3896
273 20 23
282 296 6973
257 181 4675
111 207 9161
288 89 1419
282 83 3236
176 262 581
222 88 3560
132 77 9104
209 59 135
289 121 6300
33 279 1878
249 140 9718
1 14 5815
179 133 7632
237 299 6166
63 195 6324
2 273 7566
140 103 1588
219 160 8548
25 225 1206
112 160 5646
97 206 2559
18 38 4874
102 86 758
251 180 398
228 284 4889
21 255 306
218 183 8491
26 239 5154
15 227 8715
19 115 2642
145 146 3921
187 201 6729
69 18 6777
67 137 9888
159 25 3653
77 208 9429
225 123 1509
88 90 7231
143 103 2859
114 69 2884
294 125 9479
116 247 7052
99 92 4533
198 278 377
102 107 1570
263 264 8299
202 54 3914
207 163 8668
227 183 1424
33 234 5745
300 49 7108
219 64 8819
110 51 3447
61 6 5213
279 170 2922
138 55 7964
83 40 7050
189 93 887
17 111 5350
150 104 1546
254 178 7504
123 79 3842
298 20 5727
25 215 7835
88 106 5697
37 49 3195
62 206 4799
24 29 5591
241 194 2718
293 119 1762
51 225 8149
73 100 4230
141 76 425
44 52 9903
79 138 882
171 236 8240
129 213 1657
21 298 1101
34 197 1641
66 92 6070
89 265 2433
71 120 150
124 299 4785
155 186 6327
236 256 868
205 299 4386
271 154 3769
77 293 599
142 20 335
113 208 4491
50 206 5555
149 119 3943
122 30 8442
139 296 3901
226 90 6881
23 277 6668
171 218 1870
279 173 8311
69 281 4324
190 75 3909
29 112 6624
246 57 4953
143 52 222
55 140 9578
208 295 8133
292 215 2742
164 157 4262
149 2 1984
268 284 4763
247 23 1633
248 212 6680
172 183 9661
52 130 7165
28 212 291
248 97 6618
87 256 6932
258 16 3076
182 139 7533
281 258 2477
124 264 370
59 130 8797
279 6 6908
50 274 2338
225 78 5257
160 42 5499
233 68 9700
283 190 5261
210 278 2252
96 264 5292
44 288 8282
29 131 4915
15 112 8352
294 3 9080
222 187 143
35 124 6261
65 29 5616
258 277 4429
45 166 9705
68 30 3035
153 268 4888
24 188 7867
197 52 4334
234 130 2873
251 166 5245
297 197 5134
276 248 6040
270 217 6795
205 172 8488
230 126 880
175 47 4219
18 51 9456
34 119 3387
171 45 2058
212 124 5754
281 3 7085
221 265 2835
214 221 3963
230 228 3334
148 60 8183
244 85 5187
194 284 815
169 154 3992
245 57 238
22 223 7549
49 165 4846
85 26 3988
207 137 7030
203 170 2207
169 103 2997
231 23 3173
71 62 4153
288 173 1631
260 294 1523
204 23 3991
222 211 2342
159 275 2306
78 76 3144
283 159 9627
280 18 1993
285 17 6436
36 183 2829
187 263 6746
100 194 482
85 210 9628
149 140 2786
262 151 9425
178 58 6608
142 207 6900
253 285 3138
76 182 1790
124 62 5858
250 94 3050
52 155 9976
76 237 6507
65 227 8480
262 38 1801
208 59 4728
87 255 1919
47 167 6148
152 202 6045
98 136 5048
254 286 9416
281 269 7998
95 182 9150
153 89 3307
162 21 8845
271 253 2321
58 153 1224
265 299 4912
80 59 8202
176 258 6628
168 238 2475
295 194 7791
199 274 8556
111 7 5021
31 192 851
223 156 603
148 86 4823
149 239 4485
10 94 7635
226 158 6023
63 121 873
70 148 278
123 235 7656
18 144 6048
146 255 4024
89 240 638
292 275 1658
95 12 4259
261 190 4762
247 165 750
229 261 260
27 214 531
154 257 3651
136 170 9293
194 26 6907
18 136 6344
241 20 1936
17 46 8591
20 240 6749
256 181 1563
40 54 2347
231 161 5565
110 214 773
75 264 8533
252 143 7177
168 207 6872
35 211 1653
58 116 8698
153 63 2232
209 132 7763
65 179 8229
36 96 5370
124 157 1801
281 124 8533
126 161 7978
134 18 3339
31 34 6393
33 92 9775
6 66 7844
129 65 3276
215 279 8140
207 225 3188
277 71 7735
