328 16652
110 243 7525
153 152 96380
150 65 91185
285 310 67597
125 20 56015
184 89 60171
7 237 77416
318 152 8114
30 40 47590
310 27 22786
155 7 15313
63 326 49401
152 312 9220
102 312 77042
87 32 74013
75 324 35867
234 168 1484
212 277 48095
184 230 4726
207 73 80548
139 131 4856
139 259 76179
323 261 46306
249 194 52673
109 164 19431
37 239 39181
316 247 21413
182 108 66266
69 73 88159
265 207 30225
163 77 43827
277 128 87367
257 87 6737
32 109 99172
236 273 84219
145 192 53377
87 216 35747
264 279 91470
100 325 30659
231 53 30238
294 328 72322
50 128 63780
102 272 86594
298 8 86110
84 139 21324
71 323 18635
54 303 2431
25 110 21581
209 247 54739
149 276 76854
24 45 69570
185 158 49123
316 182 52894
250 79 835
326 263 52739
20 99 67690
126 117 5009
56 55 90970
30 79 8186
290 118 90626
188 319 93324
97 210 25253
225 319 27011
122 242 50167
216 328 80274
205 23 53908
140 31 27824
54 55 65553
89 114 89098
41 208 75940
213 55 25143
83 11 49893
134 190 48437
51 6 1399
286 75 87520
57 290 44439
46 203 52157
153 78 20496
201 100 54406
58 156 81011
303 213 27712
238 3 20693
203 191 83822
98 211 37529
227 287 59665
100 251 32256
215 98 26246
122 72 52935
195 314 29706
290 103 44159
57 90 84665
325 125 69541
26 63 26544
18 323 91004
151 82 8012
14 272 6495
148 221 51875
120 180 83054
136 241 4730
64 259 41067
25 28 52116
246 194 29140
327 205 86334
279 159 42338
43 167 71505
177 108 63898
19 243 30154
155 21 69787
45 192 59201
58 120 86435
99 86 71804
105 118 2149
105 73 59610
167 213 54517
200 319 34694
240 50 91065
157 131 92543
286 3 36814
160 95 10924
292 273 33804
178 74 98049
190 318 31832
168 170 39549
55 47 27102
179 16 55048
59 62 99821
235 101 19879
63 115 69208
280 219 39789
93 24 86323
233 325 58517
149 21 18036
118 167 56410
52 239 67470
256 266 885
265 185 68816
137 295 34346
255 239 36566
133 316 7468
252 138 45152
199 325 31563
324 250 7679
121 21 15543
207 307 52730
318 247 78461
22 250 467
39 195 97488
101 241 54449
97 260 68039
283 288 63948
191 300 99482
126 244 80415
273 240 47009
317 1 64848
50 31 17219
131 189 29920
194 197 91780
17 62 79090
181 183 67729
181 112 17138
67 38 90624
7 169 87060
11 201 73151
244 298 36450
290 34 49725
194 311 2332
72 4 53850
16 36 52920
29 283 73641
10 110 60509
207 115 11918
102 268 54400
65 40 34101
209 92 11703
198 58 30323
229 247 15251
55 274 76993
290 207 46834
317 181 4203
118 64 54342
135 67 19010
84 209 91123
196 269 56136
106 59 90359
14 151 64802
136 242 67434
32 197 34983
153 135 83419
18 285 35282
31 250 4336
71 233 91549
103 135 53671
161 293 95978
85 264 66192
194 272 498
255 135 85493
281 92 5164
285 184 69006
271 296 67747
77 168 57317
288 316 26201
194 125 33974
95 230 6585
98 161 81446
179 14 32294
245 173 33892
153 131 81910
206 319 37673
216 192 81885
184 227 20787
174 120 51020
117 204 73005
309 169 87027
279 328 89793
115 272 65868
283 66 91255
77 88 54697
130 13 46813
13 289 7807
297 262 32846
71 213 45119
54 168 20362
288 223 13745
296 321 89480
270 208 80994
117 159 78160
216 69 49183
145 110 15073
105 111 41368
231 171 95893
45 173 46419
31 83 45198
22 58 51134
5 264 14587
219 251 52298
148 55 46615
168 2 41314
97 214 43586
264 169 14363
157 220 11991
317 194 52424
84 180 4320
284 192 61305
293 98 42487
303 99 51441
131 183 20184
318 140 35532
277 133 32877
243 127 84512
136 98 66640
166 100 57529
135 42 88269
302 8 93031
190 265 71375
228 226 11002
184 93 13189
146 102 4234
263 327 76973
297 272 35554
11 180 24661
117 230 51503
264 99 93460
233 157 91615
327 146 26604
26 259 47335
42 78 15946
263 129 75530
320 14 44146
268 217 72254
66 69 83924
176 67 39707
268 22 15276
261 1 85336
178 314 1488
247 130 16237
9 121 20570
60 265 44626
237 79 43651
59 53 43422
185 145 71827
239 10 64746
178 120 66387
178 6 76957
141 34 27830
137 100 84578
300 14 57230
233 208 33617
314 166 77703
325 180 57591
267 275 55484
272 195 52754
17 42 59100
76 164 77534
218 79 13520
261 92 40760
74 38 25671
44 33 39084
230 159 57868
311 183 70813
265 219 78006
207 36 59888
88 183 50019
64 54 32901
125 230 80697
23 66 36565
34 195 90935
277 293 35860
199 66 59138
48 79 7368
19 297 76214
298 177 26855
278 281 45339
111 31 54885
242 142 15332
18 295 74524
31 251 8260
31 179 73253
303 158 50344
10 4 34718
287 152 14873
299 240 18930
210 69 25792
152 274 66738
213 312 69571
236 114 17737
136 134 43302
30 273 94385
158 138 63044
108 60 63713
246 225 6639
176 69 754
238 19 21990
110 208 53372
288 203 12853
280 222 67515
154 78 47893
246 323 17901
125 55 39066
209 174 21317
305 85 62959
305 208 69857
225 262 60556
274 65 41415
126 271 13762
230 113 39994
181 122 45100
185 93 99334
82 281 75906
130 284 29176
237 30 82555
323 172 27797
249 279 83215
320 160 86808
2 124 60457
315 54 3826
88 133 77232
133 30 48814
167 58 62396
220 64 84610
207 95 30590
206 94 87341
104 184 70451
249 35 56117
283 3 40958
75 155 95180
35 316 77394
298 265 8311
66 295 9108
110 68 93043
257 225 82111
16 227 81571
188 40 12393
96 326 28329
100 121 83717
236 239 50563
195 262 79969
138 281 53567
115 160 16158
282 28 72859
243 285 28625
47 117 22942
193 33 31512
8 157 48265
33 91 69190
10 88 23969
58 144 81302
192 202 92899
267 308 63729
50 22 30234
308 244 15188
2 243 68967
255 154 16528
56 170 44224
127 265 78905
306 38 66170
286 128 13657
199 213 92716
173 315 94455
123 303 17800
64 149 42776
205 84 67468
25 74 48802
92 200 83521
205 36 36766
42 139 17959
293 41 14846
181 9 44876
6 125 51341
291 296 56363
5 28 60449
261 60 42387
294 288 62111
322 267 67
261 44 53086
87 107 38408
171 295 94594
20 260 76730
277 229 48626
259 74 35650
304 35 37546
128 206 50374
216 223 47367
194 228 9653
258 157 38914
14 306 77781
99 292 87024
97 102 74276
163 11 12253
231 46 78268
229 7 22702
250 105 64097
61 310 98173
169 46 86652
126 85 37939
193 35 17812
80 226 87899
182 66 65961
84 133 75315
266 279 73910
310 105 69967
258 81 16454
62 191 86205
66 201 18882
60 274 84268
199 20 40878
38 321 97413
214 28 12187
52 4 42542
232 27 54906
151 274 68319
217 173 73466
211 236 1429
200 121 29561
43 179 89951
271 214 40610
69 33 33005
104 126 50003
267 199 23772
118 166 39202
92 40 20647
198 273 1742
117 29 82829
194 118 80527
274 16 40368
217 21 37849
223 267 76780
151 128 86520
193 37 66524
290 2 2070
322 92 77185
236 97 25872
154 96 71928
65 207 64923
154 195 71370
149 267 86821
295 151 46815
103 128 79286
288 73 96548
61 118 48159
35 28 74418
99 112 187
91 216 874
240 39 86612
255 115 50649
303 190 25765
32 39 92092
248 18 18564
324 155 8470
194 214 26908
237 185 78917
288 145 72832
186 219 89891
121 203 23035
30 189 87506
105 145 23005
64 225 77086
11 302 48758
136 272 6817
104 209 40656
322 49 23848
211 154 30502
168 81 55864
281 173 23776
327 16 56730
23 266 74229
42 182 16002
282 313 61092
65 17 89219
144 177 10327
11 216 20322
104 251 11344
180 148 45294
87 237 56300
208 190 29366
90 276 38693
313 175 79258
131 238 78215
123 319 13520
257 294 98994
37 191 4943
265 229 12958
129 81 58439
45 114 55807
325 261 71722
106 302 81263
253 172 67013
137 50 61850
70 309 47663
211 99 14095
225 144 59318
133 175 90391
175 137 9754
35 299 9119
233 56 31516
276 113 83995
273 263 42444
289 100 69614
155 11 87185
153 190 25444
6 43 64965
34 236 25769
211 244 74354
244 85 88234
65 45 45065
217 134 6162
91 139 54538
189 209 12421
268 138 33244
291 145 79334
53 5 26281
85 246 33377
210 74 61351
296 38 25250
101 108 48558
220 180 97308
30 115 51042
209 127 83521
58 114 53277
15 48 90252
24 220 49242
227 320 15793
211 309 63252
210 65 82923
90 48 77623
327 291 23045
240 316 23408
227 82 63281
59 93 9434
54 118 44313
207 46 24437
206 82 23555
157 232 39236
142 61 78648
319 171 30648
8 155 74462
304 268 98373
40 129 18346
272 236 85257
137 160 62660
56 39 75136
288 150 64788
248 259 61071
154 99 1851
184 315 88816
41 101 18790
240 142 3793
231 112 83141
37 97 5264
116 53 18614
137 45 21645
244 297 11671
158 119 98060
165 176 7488
158 318 8503
243 77 61878
149 1 88982
69 16 89867
50 315 68588
304 252 93702
54 149 71905
273 308 44737
71 175 62479
306 221 65654
277 238 88446
269 77 9421
121 275 18368
254 16 79480
207 206 77598
123 42 50400
221 311 9073
200 70 35909
159 243 40297
298 324 93276
197 86 85083
299 133 8678
275 66 62622
156 129 73599
17 187 77738
142 210 56274
169 74 42381
21 278 38877
148 9 63321
36 312 15639
68 130 73981
210 24 57941
102 91 54797
204 217 1610
154 196 18617
13 133 51624
324 101 87546
297 115 94576
265 116 88567
162 318 84433
295 132 39566
128 321 36177
22 278 90044
77 83 18938
250 109 86163
138 326 74980
61 203 30111
161 312 36728
101 59 70425
260 328 73553
271 305 10464
35 270 83681
19 43 73224
246 303 20689
203 8 60381
145 226 23459
213 186 6991
108 27 31040
168 212 59959
168 98 12915
155 238 1279
101 145 81268
1 314 20368
52 216 30198
145 58 22465
15 222 2436
171 47 3840
178 202 72340
328 22 17032
227 136 59622
8 202 14936
136 290 34959
214 23 5366
10 84 1701
116 74 61383
268 250 10955
141 125 36819
234 122 67848
157 217 69719
113 119 69790
126 181 97700
176 279 66798
146 136 84986
163 143 19393
302 100 6109
166 296 46854
19 95 52923
209 206 25247
307 240 20410
295 209 33801
95 126 34967
183 184 68835
155 314 49976
14 22 22604
141 23 18514
44 325 82069
295 79 60084
299 124 62274
218 4 39163
53 304 67571
136 85 10946
220 291 6470
305 317 35672
227 101 49516
66 240 63377
77 205 40588
93 135 73815
10 120 90974
1 146 99817
256 143 95708
136 97 17834
10 302 41462
103 107 96534
222 271 71412
322 312 79275
235 181 95347
291 155 82664
97 279 58880
29 223 92859
271 45 21729
273 85 89442
267 155 58349
49 137 31849
63 67 73173
312 280 46844
91 278 9777
295 155 71317
291 308 33677
135 268 23724
306 167 49816
7 315 81639
22 30 70290
84 204 50681
276 11 9589
268 319 85636
250 150 87661
1 147 23681
269 180 10762
26 270 51964
2 213 74406
308 133 42194
328 164 40379
260 142 52684
174 315 55827
138 291 84291
188 201 49558
14 121 6275
4 110 85596
297 52 32537
38 126 23428
298 208 1676
273 223 48440
269 126 83455
293 64 9916
35 186 85355
279 100 75405
170 236 40032
78 48 58296
180 73 55796
107 206 71197
208 25 92789
160 66 43860
112 185 72338
276 163 64026
121 131 74540
218 239 97649
76 32 28050
192 22 92457
26 171 66774
103 119 95230
306 52 20255
112 139 8226
103 147 49572
108 293 67978
238 73 5448
221 259 99594
306 2 30744
36 99 39026
247 327 3680
309 31 34059
177 171 92817
291 116 76430
37 310 32103
86 241 27784
312 239 45423
280 130 53674
228 223 16724
266 245 4012
120 103 8600
26 177 94722
54 26 18332
241 121 17231
144 60 99340
55 21 45951
265 235 82282
295 166 62928
305 179 48126
172 302 86143
175 39 21865
212 61 46260
228 90 9398
241 99 98316
153 155 35122
283 308 78740
215 193 47160
207 106 90047
5 61 47622
148 87 38746
159 291 88291
134 308 66562
131 147 85625
189 133 67229
133 172 66404
150 57 52421
44 192 28725
303 296 75233
273 111 66190
167 67 8055
258 155 43845
110 230 50811
245 37 5202
63 309 96832
192 4 3313
71 210 67139
211 77 52372
242 232 19253
272 43 62142
3 42 99866
167 146 22298
88 47 60233
98 66 96876
16 239 3290
310 205 35707
116 313 70460
47 304 8869
17 218 50009
112 72 32060
98 268 32856
280 40 84003
145 22 52277
141 176 45225
94 64 95875
276 227 47029
208 5 81487
235 5 63089
265 153 15876
194 58 20511
224 195 7788
172 132 25237
275 241 68559
23 193 13502
118 201 86733
104 51 15102
194 71 85202
154 295 472
211 223 56051
205 128 65048
6 261 91424
236 195 32530
132 67 86652
268 94 99070
187 284 23987
161 245 44928
131 73 75657
303 28 21687
161 107 77338
292 151 45342
32 144 61713
225 224 7061
189 108 7271
134 282 74955
207 25 75417
148 88 18566
209 259 83694
187 145 8190
261 77 54592
25 132 6412
192 178 48715
311 92 78869
149 163 61328
161 120 42469
145 12 93555
144 236 87775
197 77 50265
241 288 6427
22 233 50803
245 123 75976
282 89 84687
315 218 44580
128 281 95595
161 230 63768
236 263 85999
195 291 20076
2 214 28888
150 231 45299
135 246 79264
310 276 72539
22 308 12920
141 230 17142
46 140 50829
92 232 56527
307 283 47022
81 225 86336
260 216 4544
118 273 29381
92 302 11567
16 323 80302
249 135 81281
323 305 53409
230 35 94387
234 269 74306
20 134 53117
325 158 30793
109 284 30034
126 133 28248
18 300 87512
132 162 26787
238 151 96273
180 256 78124
320 166 17111
227 81 45588
276 134 39959
235 194 78252
67 326 15283
241 122 35283
260 114 49067
326 68 11540
86 84 66181
77 257 79408
255 94 25287
248 150 79654
53 310 94215
46 39 88643
20 105 39334
101 25 70599
218 245 27334
298 24 93040
63 312 79942
140 172 45889
161 121 95167
216 314 27962
128 203 4483
153 199 81098
184 5 91031
105 311 45245
68 38 49633
82 285 47878
222 206 88432
50 162 57299
175 166 21956
149 223 62151
205 226 97324
249 302 23811
89 247 42244
51 163 17452
295 65 89642
282 21 20094
4 290 40122
46 66 55245
114 154 24674
288 58 72897
291 69 7067
130 51 72232
224 190 22964
256 10 39815
46 177 42597
175 142 79708
170 141 98543
315 107 85214
303 279 38062
322 167 62229
35 318 25236
215 180 71882
178 61 76595
7 215 55388
66 242 55715
104 108 77832
272 126 46403
16 228 96835
109 266 15476
192 220 33330
243 322 90091
178 224 29708
143 22 57357
232 50 70153
248 182 60514
276 160 75693
139 233 47022
33 230 52704
56 188 72794
318 298 8120
254 299 11057
260 286 60462
205 139 80015
271 140 81559
152 109 91793
256 317 10596
113 8 29823
286 287 58353
292 140 89924
246 54 12423
315 232 70640
165 79 16786
94 58 1203
34 14 80097
130 93 62041
70 86 72174
10 293 87029
223 48 92976
140 213 31658
166 67 25811
62 258 91246
302 12 99065
310 231 97783
183 163 98289
198 10 14199
30 210 75219
39 233 40954
136 18 21670
106 175 81948
14 119 23956
300 260 96301
105 71 34259
52 314 63211
43 18 12511
20 160 9763
215 255 82466
259 145 63548
43 165 83281
286 244 62692
237 51 20835
291 114 56714
235 269 19592
227 208 39752
301 111 72448
2 230 29288
243 75 25886
151 19 5145
27 123 94438
258 44 86093
72 79 53194
94 218 78516
152 105 82148
179 3 25013
38 72 65599
320 284 62474
162 107 47244
187 177 76192
302 49 91832
254 84 42473
175 229 85371
266 240 60468
180 192 63536
57 78 84482
305 231 28274
284 210 55838
219 19 57368
48 73 82749
176 306 88348
128 64 73537
313 252 61606
279 280 51815
240 68 82760
134 207 3907
59 21 95087
76 245 61053
267 254 54563
134 234 74951
43 53 74367
54 288 89529
326 243 95309
38 201 76798
112 311 62346
138 17 4602
63 236 97404
250 55 17479
155 70 82555
226 285 13682
11 304 90638
170 316 35045
92 201 55370
57 172 90761
102 267 90098
111 138 54897
57 164 29849
70 105 91157
135 29 19984
147 232 99528
184 210 88095
237 290 14663
256 36 69556
32 316 19900
197 132 73433
34 241 16898
192 225 76632
43 145 42632
293 151 90123
61 91 29807
315 156 98906
43 245 91010
308 97 77750
128 275 38746
154 219 75996
246 312 23380
287 298 88751
36 302 10402
74 184 50281
224 17 89716
114 12 37227
280 175 20698
73 157 23191
163 280 96418
299 31 21927
26 85 18330
219 2 51179
82 152 55413
84 36 20311
8 28 48794
55 327 10896
107 257 23015
206 44 81149
8 128 59473
47 278 93416
103 309 4997
66 156 83603
107 286 30436
61 51 59320
248 221 65073
284 52 79048
316 72 95197
290 125 14584
150 219 48645
196 162 44503
276 245 78498
91 260 42812
265 112 62308
19 69 57113
20 6 38115
307 65 71465
158 10 31967
139 146 32069
285 309 11636
315 127 69739
194 145 83274
184 233 63491
116 56 43838
164 286 5889
266 160 88597
315 125 24869
23 195 11708
17 159 33420
278 38 67667
153 250 75525
118 30 64909
224 304 57450
136 314 350
35 242 94987
71 248 70424
29 142 80219
63 74 86297
269 263 62822
272 127 81366
231 271 79356
70 173 14026
251 246 55789
51 271 1394
45 14 23931
169 157 49294
81 309 15292
312 193 54388
65 53 10119
104 29 77727
311 245 88708
90 59 69970
9 223 81130
13 208 27819
14 110 67389
70 172 15208
60 124 90526
114 228 27223
318 248 98512
100 76 83101
227 267 12254
272 13 6029
184 29 60585
31 238 35259
42 19 15676
279 208 96218
181 196 60531
249 147 54163
165 93 39929
83 237 74920
209 284 15859
79 3 48916
1 290 35526
167 274 56037
240 159 66417
326 93 79576
168 58 65690
139 244 66258
180 94 93685
233 62 93254
254 142 50709
231 281 90425
204 254 46774
253 69 52814
35 209 50276
323 159 95890
325 2 21980
7 294 395
128 68 86195
236 98 1829
41 250 65093
96 111 9735
177 124 36730
269 224 54897
32 239 78028
126 166 13060
86 242 1435
4 90 15737
323 220 48794
326 108 74960
195 33 61147
140 240 468
128 9 88877
288 230 47657
294 170 67460
155 18 7234
105 215 97932
225 25 77467
154 102 50274
204 63 81965
143 37 9284
193 97 29807
108 61 81211
101 148 17039
263 27 21962
47 166 33439
245 25 23851
187 98 77568
175 57 78499
209 26 94516
249 205 91374
139 35 90968
96 14 95978
202 177 62471
306 293 71539
147 87 40213
186 36 69341
79 175 3832
6 263 87983
259 112 78102
200 175 26477
64 84 67750
241 66 55072
120 173 21289
226 60 26158
83 213 66463
4 163 55254
92 170 49371
158 120 85705
99 208 25577
252 125 41181
97 98 11942
65 313 45765
67 90 39981
237 228 4297
210 262 51821
233 256 28285
8 101 84819
193 47 98901
125 75 23124
102 240 99008
264 2 83482
227 1 28797
94 234 94434
10 115 91770
297 117 86219
89 237 76014
12 316 63942
121 223 66762
82 132 34375
186 211 81939
73 317 46564
36 122 47172
278 64 72789
295 25 87925
206 28 1935
15 167 3250
131 310 41519
284 174 77002
168 179 90711
9 13 6506
101 102 84357
241 273 14871
289 254 25926
153 15 95473
170 249 21946
42 67 73015
267 180 19702
163 18 92086
281 145 65166
288 93 27221
51 299 82753
49 274 31709
164 168 60502
219 99 78014
216 62 63605
218 57 37637
192 18 51858
166 157 28670
156 97 96318
321 273 74939
56 257 74203
122 226 76713
70 63 66422
31 39 73149
75 143 9664
179 145 85865
10 34 15927
299 310 25125
253 18 20392
81 74 96165
209 91 81058
42 10 3570
55 255 23750
230 218 23602
74 75 35506
265 215 37836
79 104 63399
126 208 49561
74 158 45648
121 318 65014
149 150 69994
45 36 3769
165 203 73843
31 308 4301
74 300 85543
281 272 83705
9 316 34790
303 101 73811
65 289 55770
143 179 1657
61 171 78825
134 88 61847
29 260 28413
20 118 18039
14 322 72519
160 30 15156
150 102 49969
66 157 88108
119 270 34534
242 227 75466
18 65 50228
266 243 96301
246 265 30224
146 261 28267
80 74 47335
176 238 5481
29 90 17416
5 274 15881
14 209 89403
53 27 17890
304 294 41823
201 128 20604
199 28 88922
157 36 53506
297 270 69846
9 129 14346
236 227 34851
6 259 85019
282 278 69557
158 122 40001
3 134 47629
76 275 20309
247 163 24137
257 275 58370
140 251 45041
247 3 46521
37 90 48889
201 61 6028
263 267 4907
272 260 73166
290 246 78152
258 146 99044
209 214 76959
218 155 70708
221 52 89763
249 259 73910
130 46 58828
318 161 46877
40 110 97201
20 261 93104
55 202 56693
230 255 63658
81 160 53377
87 97 9034
286 232 86950
52 257 6156
44 5 24793
77 49 44419
157 305 99700
216 139 40652
269 74 59371
236 243 49018
222 37 41634
10 133 79564
246 96 47329
76 28 32517
243 40 20621
50 84 15511
148 314 569
327 152 77996
157 249 48104
290 119 16462
127 130 2934
62 322 58864
287 205 55705
261 218 85355
59 16 48739
87 2 88475
106 17 7187
163 119 68382
163 103 30332
195 187 14399
252 317 73915
127 210 65595
142 211 58957
5 52 92070
292 49 62360
164 65 56403
64 178 42266
24 302 73952
321 215 9454
33 258 70277
99 50 55578
54 209 42097
131 88 20284
253 248 44991
258 291 31455
145 143 28067
255 62 96643
198 129 64276
202 295 26929
90 294 25733
252 315 11602
114 147 32254
75 27 35255
315 206 86040
76 13 8428
312 282 62787
233 166 97767
